# Names	Keys	Cannonical	Tags
Yours	URS	URS	
Z [Left]	Z	S*	single
[	BR-KT	PWRBGT	punctuation
[backspace]	B-Ch	PWFP	command
[capitalise]	KPA	KPA	command
[space]	S-P	S-P	command
[all]	STKPWHRAO*EUFRPBLGTSDZ	STKPWHRAO*EUFRPBLGTSDZ	command
]	BR*-KT	PWR*BGT	punctuation
Fashion	FAShun	TPAGS	
Vim	V*IM	SR*EUPL	
